"Station","Time","Latitude","Longitude","Ammonium_NH4","Chlorophyll_a","Nitrate_Nitrite","Nitrate_NO3","Nitrite_NO2","Phosphate_PO4","Silicate_SiO4","Temperature"
130,"2014-01-20 10:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,7.9649
130,"2014-01-20 10:30:00",51.2708,2.905,1.87,10.14,6.33,6.17,0.16,0.46,9.24,NA
130,"2014-03-03 08:20:00",51.2708,2.905,1.35,NA,4.59,4.49,0.1,0.39,5.41,7.6161
130,"2014-03-24 08:30:00",51.2708,2.905,0.9,19.3529,7.18,6.9,0.28,0.05,0.25,9.2243
130,"2014-03-31 07:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,8.4421
130,"2014-04-16 11:20:00",51.2708,2.905,1.73,21.8084,34.2,34.03,0.17,0.57,7.62,11.0773
130,"2014-04-16 11:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2014-05-26 07:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,15.8214
130,"2014-05-27 07:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,15.8732
130,"2014-05-27 07:50:00",51.2708,2.905,0.93,7.2565,0.78,0.73,0.05,0.2,0.5,NA
130,"2014-06-25 04:00:00",51.2708,2.905,0.38,15.5821,0.09,0.06,0.03,0.15,0.25,18.646
130,"2014-07-22 07:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,20.1096
130,"2014-07-23 06:50:00",51.2708,2.905,7.2,3.6556,15.98,14.38,1.6,1.1,18.14,20.3126
130,"2014-08-27 07:00:00",51.2708,2.905,2.65,5.4414,7.81,7.26,0.55,0.53,2.03,17.0239
130,"2014-09-04 06:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,18.1007
130,"2014-09-24 18:20:00",51.2708,2.905,0.74,2.9745,17.81,16.66,1.15,1.15,14.64,17.5807
130,"2014-10-13 12:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,15.6996
130,"2014-10-15 12:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,15.6099
130,"2014-10-22 20:00:00",51.2708,2.905,4.51,6.8346,4.74,4.25,0.49,0.72,7.77,14.7159
130,"2014-11-18 08:10:00",51.2708,2.905,1.3,1.295,0.7,0.63,0.07,0.16,4.95,11.9449
130,"2014-11-18 08:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2014-11-26 08:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,10.4991
130,"2014-12-16 23:00:00",51.2708,2.905,1.72,1.4928,7.71,7.14,0.57,0.41,3.92,8.1741
130,"2015-02-17 11:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2015-02-17 12:20:00",51.2708,2.905,2.01,1.1797,23.25,23.11,0.14,0.69,12.04,NA
130,"2015-03-24 08:10:00",51.2708,2.905,0.96,34.2127,17.49,17.44,0.05,0.41,6.77,NA
130,"2015-04-03 08:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,8.1746
130,"2015-04-28 08:10:00",51.2708,2.905,1.25,31.1404,13.84,13.71,0.13,0.15,5.72,10.9544
130,"2015-04-28 09:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2015-05-18 07:50:00",51.2708,2.905,3.35,10.5809,2.78,2.62,0.16,0.28,1.83,13.6877
130,"2015-05-18 08:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2015-06-23 08:30:00",51.2708,2.905,3.04,4.4118,3.68,3.37,0.31,0.24,4.9,16.753
130,"2015-07-23 13:50:00",51.2708,2.905,0.52,2.8756,0.15,0.15,NA,0.07,0.51,19.8288
130,"2015-08-17 07:20:00",51.2708,2.905,3.06,2.7134,8.58,7.75,0.83,0.7,8.66,19.5701
130,"2015-08-17 07:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2015-08-17 07:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,19.5294
130,"2015-09-29 08:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2015-09-29 08:20:00",51.2708,2.905,0.47,11.2287,17.18,16.58,0.6,1.17,10.25,NA
130,"2015-10-27 16:20:00",51.2708,2.905,1.55,3.5589,21.38,20.54,0.84,1.19,12.87,NA
130,"2015-10-27 16:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,12.3411
130,"2015-11-23 08:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2015-11-23 08:30:00",51.2708,2.905,2.78,3.6769,11,10.6,0.4,0.49,10.67,10.5884
130,"2015-12-23 17:00:00",51.2708,2.905,3.3,1.2643,15.68,15.15,0.53,0.57,10.52,10.885
130,"2016-01-27 09:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,7.7039
130,"2016-01-27 09:40:00",51.2708,2.905,2.29,1.5792,13.88,13.37,0.51,0.62,7.14,7.6981
130,"2016-02-16 08:40:00",51.2708,2.905,4.01,1.7268,36.6,36.24,0.36,1.18,21.75,6.5285
130,"2016-03-04 08:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,6.484
130,"2016-03-25 08:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,7.2124
130,"2016-03-30 07:10:00",51.2708,2.905,0.99,6.7219,7.85,7.62,0.23,0.09,0.53,8.3932
130,"2016-03-30 07:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,8.421
130,"2016-04-11 07:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,9.9145
130,"2016-04-27 17:40:00",51.2708,2.905,1.15,24.812,10.19,9.99,0.2,0.16,2.13,9.7162
130,"2016-05-04 08:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,10.4755
130,"2016-05-24 08:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2016-05-24 08:10:00",51.2708,2.905,8.44,6.5455,8.42,8.12,0.3,0.28,5.67,14.1844
130,"2016-05-24 08:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,14.2309
130,"2016-05-25 16:50:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,14.2753
130,"2016-05-25 17:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2016-06-06 06:50:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,14.6295
130,"2016-06-14 08:00:00",51.2708,2.905,6.25,11.4873,13.85,13.22,0.63,0.2,2.22,NA
130,"2016-06-14 08:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,16.5142
130,"2016-06-30 07:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,17.3135
130,"2016-07-25 07:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,20.6673
130,"2016-07-25 07:20:00",51.2708,2.905,0.39,5.262,0.9,0.82,0.08,0.89,0.94,NA
130,"2016-08-23 07:50:00",51.2708,2.905,1.77,NA,1.48,1.36,0.12,0.47,3.54,19.0085
130,"2016-09-06 12:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,20.0394
130,"2016-09-27 18:10:00",51.2708,2.905,6.64,4.494,7.82,6.99,0.83,0.74,8,NA
130,"2016-09-27 18:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,18.5657
130,"2016-10-26 07:10:00",51.2708,2.905,2.62,3.9172,17.18,15.89,1.29,1,16.27,12.8316
130,"2016-10-26 07:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,12.5919
130,"2016-11-23 10:00:00",51.2708,2.905,6.64,1.102,11.61,11.15,0.46,0.57,8.07,10.4022
130,"2016-12-19 08:20:00",51.2708,2.905,NA,1.9547,NA,NA,NA,NA,NA,6.9347
130,"2017-03-28 17:40:00",51.2708,2.905,1.02,57.5271,8.69,7.85,0.84,0.09,1.5,9.6736
130,"2017-05-23 15:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,15.3085
130,"2017-05-23 15:50:00",51.2708,2.905,1.91,NA,2.18,1.74,0.44,0.19,1.23,NA
130,"2017-06-20 16:10:00",51.2708,2.905,1.12,15.0401,1.13,1.03,0.1,0.22,1.32,20.2692
130,"2017-06-20 16:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2017-07-25 11:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,19.9865
130,"2017-07-25 11:50:00",51.2708,2.905,NA,13.9767,NA,NA,NA,NA,NA,NA
130,"2017-08-21 07:00:00",51.2708,2.905,0.81,3.7069,0.27,0.22,0.05,0.18,3.07,18.7708
130,"2017-08-21 07:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2017-09-04 12:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,19.5523
130,"2017-09-26 08:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2017-09-26 08:10:00",51.2708,2.905,5.79,4.4741,7.79,7.12,0.67,0.49,6.99,NA
130,"2017-10-23 08:30:00",51.2708,2.905,5.55,2.1168,5.61,5.12,0.49,0.43,6.29,NA
130,"2017-12-19 10:50:00",51.2708,2.905,4.63,NA,44.75,44.49,0.26,1.3,26.49,5.5526
130,"2018-01-30 08:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2018-01-30 10:20:00",51.2708,2.905,1.04,1.648,14.58,14.03,0.55,0.49,7.34,NA
130,"2018-02-20 08:50:00",51.2708,2.905,2.64,2.8451,25.85,25.51,0.34,0.59,12.02,5.3474
130,"2018-03-21 15:50:00",51.2708,2.905,1.4,18.7808,48.35,48.24,0.11,0.64,19.66,3.5863
130,"2018-03-27 11:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,4.9802
130,"2018-04-04 13:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,7.5274
130,"2018-04-24 08:00:00",51.2708,2.905,0.9,17.3609,0.245,0.185,0.06,0.105,0.865,12.1463
130,"2018-04-27 13:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,11.6783
130,"2018-05-02 17:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,11.1157
130,"2018-05-29 07:40:00",51.2708,2.905,2.13,8.6753,5.65,5.41,0.24,0.09,1.94,16.0044
130,"2018-06-20 07:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,17.0778
130,"2018-06-20 07:10:00",51.2708,2.905,2.79,15.3139,1.74,1.44,0.3,0.18,0.44,NA
130,"2018-07-25 13:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,22.3171
130,"2018-07-25 13:30:00",51.2708,2.905,5.68,9.8879,4.09,3.6,0.49,0.49,9.18,NA
130,"2018-08-27 08:20:00",51.2708,2.905,5.31,6.9629,4.51,3.79,0.54,0.49,8.9,18.7716
130,"2018-09-25 13:30:00",51.2708,2.905,4.98,9.2505,5.14,4.58,0.56,0.49,7.51,16.4515
130,"2018-09-25 15:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,16.3297
130,"2018-10-24 15:40:00",51.2708,2.905,2.28,8.0715,14.25,13.63,0.62,0.65,12.63,14.8348
130,"2018-10-24 15:50:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,14.8372
130,"2018-11-21 07:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,8.4
130,"2018-11-21 07:50:00",51.2708,2.905,10.88,5.3482,11.32,10.86,0.46,0.88,11.65,NA
130,"2018-11-21 08:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,8.3613
130,"2018-12-18 08:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,7.2089
130,"2018-12-18 08:50:00",51.2708,2.905,3.95,1.7551,8.19,7.86,0.33,0.28,4.86,NA
130,"2018-12-18 09:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2019-01-29 11:20:00",51.2708,2.905,8.16,1.7542,26.6,25.95,0.65,0.52,16.95,NA
130,"2019-01-29 11:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2019-02-20 08:10:00",51.2708,2.905,7.86,4.7073,25.45,24.79,0.66,0.46,9.3,6.6371
130,"2019-03-26 09:50:00",51.2708,2.905,2.59,8.9507,27.5,27.13,0.37,0.36,7.84,8.8046
130,"2019-04-08 06:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,10.0336
130,"2019-04-23 08:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,11.5201
130,"2019-04-23 08:10:00",51.2708,2.905,1.05,26.0551,3.87,3.77,0.1,0.11,6.08,NA
130,"2019-05-21 08:10:00",51.2708,2.905,6.28,4.8744,5.72,5.4,0.32,0.09,2.78,13.3828
130,"2019-06-04 19:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,17.0393
130,"2019-06-24 07:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2019-06-24 07:20:00",51.2708,2.905,5.5,3.6613,6.31,5.8,0.51,0.42,4.83,18.4109
130,"2019-07-23 07:40:00",51.2708,2.905,1.9,7.856,1.11,0.92,0.19,0.31,3.44,20.2559
130,"2019-07-23 07:50:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2019-08-21 06:50:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,18.6499
130,"2019-08-21 07:00:00",51.2708,2.905,0.59,NA,0.18,0.14,0.04,0.15,2.66,NA
130,"2019-09-26 01:30:00",51.2708,2.905,2.36,1.408,0.9,0.78,0.12,0.22,3.46,16.9538
130,"2019-10-22 09:00:00",51.2708,2.905,10.71,0.8533,4.89,4.25,0.64,0.51,6.74,14.2553
130,"2019-10-22 09:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,14.2533
130,"2019-11-26 08:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,8.5946
130,"2019-11-26 08:10:00",51.2708,2.905,5.37,1.2497,14.6,13.99,0.61,0.48,8,NA
130,"2019-12-11 14:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,8.5903
130,"2019-12-17 09:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,8.4414
130,"2019-12-17 09:40:00",51.2708,2.905,NA,1.4329,NA,NA,NA,NA,NA,NA
130,"2020-02-27 07:30:00",51.2708,2.905,NA,1.473,NA,NA,NA,NA,NA,7.9176
130,"2020-03-10 09:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,7.9858
130,"2020-03-11 08:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,8.5639
130,"2020-05-05 07:30:00",51.2708,2.905,NA,22.4582,NA,NA,NA,NA,NA,12.3283
130,"2020-05-19 07:00:00",51.2708,2.905,NA,6.102,NA,NA,NA,NA,NA,NA
130,"2020-06-23 07:20:00",51.2708,2.905,NA,18.3345,1.46,1.245,0.22,0.11,4.22,18.3028
130,"2020-06-23 07:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2020-06-30 06:50:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,17.1924
130,"2020-07-22 07:00:00",51.2708,2.905,NA,9.0593,NA,NA,NA,NA,NA,19.4666
130,"2020-07-22 07:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2020-08-17 07:40:00",51.2708,2.905,NA,12.4545,NA,NA,NA,NA,NA,22.5358
130,"2020-09-30 07:30:00",51.2708,2.905,NA,NA,12.2,10.66,1.535,0.64,13.1,NA
130,"2020-11-26 07:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,10.6429
130,"2020-11-26 08:00:00",51.2708,2.905,NA,1.5336,9.535,8.805,0.73,0.455,3.71,NA
130,"2020-12-15 08:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,9.0693
130,"2020-12-15 08:30:00",51.2708,2.905,NA,1.7082,16.65,15.775,0.87,0.6,11.345,NA
130,"2020-12-18 11:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,9.0918
130,"2021-01-18 07:50:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,5.3125
130,"2021-01-18 08:00:00",51.2708,2.905,NA,0.0552,45,43.965,1.035,0.92,17.05,NA
130,"2021-02-15 08:10:00",51.2708,2.905,NA,0.1876,57.65,57.33,0.33,1.395,43.865,2.1653
130,"2021-03-23 09:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,6.8962
130,"2021-03-23 09:10:00",51.2708,2.905,1.69,0.1765,42.32,42.18,0.14,0.55,15.27,NA
130,"2021-04-19 07:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,8.3563
130,"2021-04-19 07:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,8.3721
130,"2021-04-27 07:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2021-04-27 07:20:00",51.2708,2.905,1.48,27.804,3.11,3.02,0.09,0.12,0.31,9.154
130,"2021-05-18 07:20:00",51.2708,2.905,NA,3.7299,1.67,1.59,0.08,0.01,NA,12.4349
130,"2021-06-07 12:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,16.3159
130,"2021-06-29 07:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,18.1357
130,"2021-06-29 07:50:00",51.2708,2.905,NA,2.4276,10.45,8.99,1.46,0.01,11.64,NA
130,"2021-07-26 07:30:00",51.2708,2.905,NA,9.1268,13.13,12.33,0.8,0.44,9.27,NA
130,"2021-08-24 08:10:00",51.2708,2.905,NA,2.9806,4.04,3.96,0.07,0.09,2.12,18.9489
130,"2021-09-28 08:20:00",51.2708,2.905,4.29,2.946,6.14,5.26,0.88,0.63,7.39,17.9737
130,"2021-09-28 08:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2021-10-26 08:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2021-10-26 08:20:00",51.2708,2.905,6.56,2.5647,5.17,4.76,0.41,0.36,8.33,NA
130,"2021-11-23 09:50:00",51.2708,2.905,4.3,3.1655,10.95,10.47,0.48,0.74,12.82,NA
130,"2021-12-21 09:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2021-12-21 09:10:00",51.2708,2.905,0.52,1.5203,21.25,20.7,0.55,0.32,20.76,7.4322
130,"2022-01-17 09:50:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2022-01-17 10:00:00",51.2708,2.905,3.38,1.5885,24.01,23.82,0.19,0.99,29.35,NA
130,"2022-03-22 10:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2022-03-22 12:30:00",51.2708,2.905,2.66,NA,53.23,53.05,0.18,0.8,20.77,NA
130,"2022-04-14 13:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,9.9235
130,"2022-04-19 09:00:00",51.2708,2.905,5.68,13.8057,4.86,3.44,1.42,0.11,2.19,10.9333
130,"2022-06-01 07:40:00",51.2708,2.905,2.88,3.3157,16.29,15.58,0.71,0.26,4.51,15.878
130,"2022-07-26 07:40:00",51.2708,2.905,2.99,NA,1.2,1.02,0.18,0.97,20.86,21.2669
130,"2022-08-02 07:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,20.9178
130,"2022-08-17 07:00:00",51.2708,2.905,4.69,NA,0.85,0.71,0.14,0.36,7.97,22.2239
130,"2022-09-28 18:00:00",51.2708,2.905,11.92,NA,5.79,4.97,0.82,0.54,18.19,15.7778
130,"2022-10-25 17:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,15.3788
130,"2022-10-25 17:50:00",51.2708,2.905,4.3,NA,3.11,2.69,0.42,0.34,2.86,NA
130,"2022-11-21 08:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,12.0621
130,"2022-11-21 08:40:00",51.2708,2.905,7.65,2.1369,10.16,9.51,0.65,0.86,6.74,NA
130,"2022-12-12 14:00:00",51.2708,2.905,9.52,0.928,16.2,15.62,0.58,0.5,13.33,7.2846
130,"2023-01-19 08:30:00",51.2708,2.905,4.33,NA,22.77,22.01,0.76,0.65,13.41,7.9564
130,"2023-02-14 08:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2023-02-14 08:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,6.0485
130,"2023-02-14 08:30:00",51.2708,2.905,6.14,0.905,41.1,40.06,1.04,1.03,24.27,NA
130,"2023-04-26 13:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,11.0001
130,"2023-04-26 13:20:00",51.2708,2.905,0.35,6.4279,12.22,11.74,0.48,0.51,7.09,NA
130,"2023-04-26 13:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,10.8704
130,"2023-05-24 06:50:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,14.393
130,"2023-05-24 07:00:00",51.2708,2.905,1.76,2.0778,23.26,23.04,0.22,0.46,6.61,NA
130,"2023-05-24 07:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,14.4009
130,"2023-06-20 06:50:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,19.5037
130,"2023-06-20 07:00:00",51.2708,2.905,5.53,4.7257,19.78,19.09,0.69,0.57,15.13,NA
130,"2023-06-20 07:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,19.3594
130,"2023-07-17 07:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,18.9079
130,"2023-07-17 07:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,18.8819
130,"2023-08-18 06:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,19.7293
130,"2023-08-18 06:50:00",51.2708,2.905,3.24,5.9169,6.44,5.77,0.67,0.45,9.41,NA
130,"2023-09-21 07:00:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,19.3545
130,"2023-09-21 07:10:00",51.2708,2.905,2.99,2.7096,1.69,1.66,0.03,0.7,4.53,NA
130,"2023-10-24 07:40:00",51.2708,2.905,NA,2.8354,NA,NA,NA,NA,NA,15.2209
130,"2024-03-05 08:50:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,8.123
130,"2024-03-27 08:10:00",51.2708,2.905,NA,6.2227,NA,NA,NA,NA,NA,NA
130,"2024-04-10 07:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,11.5485
130,"2024-04-23 14:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2024-06-12 11:20:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,16.3498
130,"2024-07-23 06:50:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2024-07-23 07:00:00",51.2708,2.905,NA,1.4385,NA,NA,NA,NA,NA,19.9347
130,"2024-08-21 06:50:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,NA
130,"2024-09-19 06:40:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,17.7738
130,"2024-10-22 15:30:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,14.8962
130,"2024-11-27 08:10:00",51.2708,2.905,NA,NA,NA,NA,NA,NA,NA,10.6746
130,"2024-03-27 08:10:00",51.271,2.905,NA,6.2227,NA,NA,NA,NA,NA,9.8696
130,"2024-05-22 12:20:00",51.271,2.905,NA,NA,NA,NA,NA,NA,NA,14.9931
